,track_id,artists,album_name,track_name,explicit,track_genre,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,FALSE,acoustic,73,230666,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01E-06,0.358,0.715,87.917,4
1,4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,FALSE,acoustic,55,149610,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56E-06,0.101,0.267,77.489,4
2,1iJBSr7s7jYXzM8EGcbK5b,Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,FALSE,acoustic,57,210826,0.438,0.359,0,-9.734,1,0.0557,0.21,0,0.117,0.12,76.332,4
3,6lfxq3CG4xtTiEg7opyCyx,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,FALSE,acoustic,71,201933,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07E-05,0.132,0.143,181.74,3
4,5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,Hold On,FALSE,acoustic,82,198853,0.618,0.443,2,-9.681,1,0.0526,0.469,0,0.0829,0.167,119.949,4
5,01MVOl9KtVTNfFiBU9I7dc,Tyrone Wells,Days I Will Remember,Days I Will Remember,FALSE,acoustic,58,214240,0.688,0.481,6,-8.807,1,0.105,0.289,0,0.189,0.666,98.017,4
6,6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,FALSE,acoustic,74,229400,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89E-06,0.0913,0.0765,141.284,3
7,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,FALSE,acoustic,80,242946,0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4
8,0IktbUcnAGrvD03AWnz3Q8,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,FALSE,acoustic,74,189613,0.625,0.414,0,-8.7,1,0.0369,0.294,0,0.151,0.669,130.088,4
9,7k9GuJYLp2AzqokyEdwEw2,Ross Copperman,Hunger,Hunger,FALSE,acoustic,56,205594,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,4
10,4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,Episode,Give Me Your Forever,FALSE,acoustic,74,244800,0.627,0.363,8,-8.127,1,0.0291,0.279,0,0.0928,0.301,99.905,4
11,5ivF4eQBqJiVL5IAE9jRyl,Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,FALSE,acoustic,69,240165,0.483,0.303,4,-10.058,1,0.0429,0.694,0,0.115,0.139,133.406,3
12,4ptDJbJl35d7gQfeNteBwp,Dan Berk,Solo,Solo,FALSE,acoustic,52,198712,0.489,0.314,7,-9.245,0,0.0331,0.749,0,0.113,0.607,124.234,4
13,0X9MxHR1rTkEHDjp95F2OO,Anna Hamilton,Bad Liar,Bad Liar,FALSE,acoustic,62,248448,0.691,0.234,3,-6.441,1,0.0285,0.777,0,0.12,0.209,87.103,4
